 INFO 2014-07-16 16:30:32,136 [main] (Suite.java:43) - reading [config] file
 INFO 2014-07-16 16:30:32,458 [main] (Suite.java:64) - reading [config] file successful
 INFO 2014-07-16 16:30:32,558 [main] (Suite.java:85) - reading [ParentSuite] input file
 INFO 2014-07-16 16:30:32,567 [main] (Suite.java:107) - reading [ParentSuite] input file is successful
 INFO 2014-07-16 16:30:32,568 [main] (Suite.java:108) - The Test suites for execution..[login, phunwareClients, analytics, alertsAndnotifications, contentmanagement, advertising, location, commonscenarios]
 INFO 2014-07-16 16:30:32,579 [main] (ContentManagement.java:74) - reading ContentManagement Input file
 INFO 2014-07-16 16:30:32,596 [main] (ContentManagement.java:97) - reading [ContentManagement] Input file successful
 INFO 2014-07-16 16:30:32,597 [main] (ContentManagement.java:98) -  {[loginAs, verifyContentLayout, createSchemaWithMultiLineHtml]} for execution in [ContentManagement] suite
 INFO 2014-07-16 16:30:32,619 [main] (ContentManagement.java:134) - opening [FIREFOX] browser
 INFO 2014-07-16 16:30:51,732 [main] (ContentManagement.java:145) - Identify Username, Password & Signin buttons
 INFO 2014-07-16 16:30:51,877 [main] (ContentManagement.java:172) - login into the application
 INFO 2014-07-16 16:31:06,588 [main] (ContentManagement.java:175) - Verify the landing page after login
ERROR 2014-07-16 16:31:11,685 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 16:31:11,685 [main] (ContentManagement.java:340) - User is landed on [YOUR ACCOUNT] page
 INFO 2014-07-16 16:31:11,686 [main] (ContentManagement.java:341) - Navigate to [YOUR APPLICATIONS] page
 INFO 2014-07-16 16:31:11,686 [main] (ContentManagement.java:342) - Verify if User has Switch button 
 INFO 2014-07-16 16:31:11,696 [main] (ContentManagement.java:357) - Click on [Switch Button]
 INFO 2014-07-16 16:31:11,877 [main] (ContentManagement.java:365) - Click operation on [Switch Button] is successful
 INFO 2014-07-16 16:31:11,877 [main] (ContentManagement.java:367) - Identify Switch button - Organization text box
 INFO 2014-07-16 16:31:12,889 [main] (ContentManagement.java:389) - Enter the Organization [cybage] name in the Switch btn Organization text box
 INFO 2014-07-16 16:31:20,860 [main] (ContentManagement.java:432) - Verify if user is landed on [Your Applications] page
 INFO 2014-07-16 16:31:20,928 [main] (ContentManagement.java:492) - Starting [verifyContentLayout] execution
 INFO 2014-07-16 16:31:20,930 [main] (ContentManagement.java:493) - Navigating to [Content Management] tab
 INFO 2014-07-16 16:31:35,234 [main] (ContentManagement.java:528) - Verify all the sub tabs in [Content Management] tab
 INFO 2014-07-16 16:31:35,321 [main] (ContentManagement.java:559) - Verification of [Content] tab text is successful
 INFO 2014-07-16 16:31:35,322 [main] (ContentManagement.java:560) - Verify [Structure] tab
